"D","P","stone_dens","cluster_area","n_ants","cluster_dens","distance","cumulative","timepoints","ID"
0.866666666666667,0.133333333333333,0.0194812746666667,1.92638180630605,-0.544719907174513,0.0313096186982533,30.8302992750803,1,15,"R54"
0.133333333333333,0,0,1.92943868000016,-2.60090718882591,0.0211424810894431,28.9404490132266,0.133333333333333,15,"R34"
0.133333333333333,0.0666666666666667,0.007879372,1.3894212504666,-0.851605518759618,0.0218820266398555,33.6306252042133,0.2,15,"R29"
0.333333333333333,0,0.0060287768,1.594082442815,-2.17270937504783,0.0170319063279027,24.0824232075943,0.333333333333333,15,"R05"
1.66666666666667,0.4,0.130320301096774,-0.495007179102909,-0.463863045953296,0.0340867608951555,30.6616984045211,2.06666666666667,30,"R54"
0.4,0.266666666666667,0.0152407632,1.85728028885817,-1.38644493076783,0.0241482679384523,29.2163895503312,0.666666666666667,30,"R34"
0.266666666666667,0,0.01181905825,1.94141756196194,-0.183679621693251,0.0223291923010963,33.8223332177948,0.266666666666667,30,"R29"
1.13333333333333,0.533333333333333,0.04792877556,1.90355142395905,-1.41819936699263,0.0182474239555251,23.9775424632503,1.66666666666667,30,"R05"
2.6,1.33333333333333,0.243433385559322,-1.55451614228475,-1.35328851938668,0.0338224248035015,30.5571128953762,3.93333333333333,45,"R54"
0.4,0.333333333333333,0.021475621,0.705311624121327,-0.672055367204254,0.0267957353529967,29.0854593420031,0.733333333333333,45,"R34"
0.133333333333333,0.0666666666666667,0.026264574,0.946260014795618,-0.295000604537646,0.0231228396022168,34.1623431118304,0.2,45,"R29"
1,0.6,0.0514958018333333,1.58475623750224,-0.56937560793054,0.0206078005974779,23.1830969511982,1.6,45,"R05"
3.66666666666667,2.86666666666667,0.305190070734694,-0.268812318628834,-0.868147352059381,0.0331231840202025,30.717980127503,6.53333333333333,60,"R54"
0.666666666666667,0.4,0.026671335875,0.269909881320837,-0.0291047599970354,0.0287919230452014,28.9967042154999,1.06666666666667,60,"R34"
0.0666666666666667,0,0.031517489,-0.307710600825593,-0.740284535915224,0.0236905284530247,33.985759626355,0.0666666666666667,60,"R29"
1.46666666666667,0.933333333333333,0.0667770763611111,0.0422638329290272,-0.758003109944338,0.0220905021669827,23.3036490775718,2.4,60,"R05"
1.93333333333333,1.4,0.27921536916,0.52140422086922,-0.302149323510863,0.0331517744596315,30.8387651556909,3.33333333333333,75,"R54"
1.06666666666667,0.333333333333333,0.0410049107619048,-0.397809542226287,-0.314860585422466,0.0287401298572256,29.0957498787017,1.4,75,"R34"
0.266666666666667,0,0.051215919,-0.0650024942172286,-0.740284535915224,0.0234445527242149,33.6787671575298,0.266666666666667,75,"R29"
2.4,0.466666666666667,0.114266350976744,-0.0808696002402692,-0.852316860951237,0.0220511852329359,23.289113818648,2.86666666666667,75,"R05"
1.53333333333333,1.26666666666667,0.33413864852381,-0.564152765298508,0.263848705037656,0.0355161773754188,30.8122091759228,2.8,90,"R54"
1.06666666666667,0.8,0.0560642365714286,-0.342199041929914,-0.529177454491539,0.0281477874956433,29.1448677895704,1.86666666666667,90,"R34"
0.0666666666666667,0,0.07091435,0.0810416095786451,-0.072358638848857,0.024306292332243,30.1991784360004,0.0666666666666667,90,"R29"
1.2,0.733333333333333,0.131749561965517,0.109732436817682,-0.380748105916741,0.0228809539450702,23.1925172062503,1.93333333333333,90,"R05"
2.2,0.533333333333333,0.298455503658537,-0.174823671447575,0.991560456028608,0.036302042550693,30.9990787399766,2.73333333333333,105,"R54"
1.06666666666667,0.733333333333333,0.0979360162592593,-0.0378550466334995,0.0423341963593222,0.0292735504857249,29.1502874821419,1.8,105,"R34"
0.0666666666666667,0,0.078793722,-0.296536226215603,0.372925292528721,0.0253713508364809,30.2871813649522,0.0666666666666667,105,"R29"
1.93333333333333,0.4,0.218112532085714,0.327905967257552,0.185134400124654,0.0238720059454391,23.0320921450505,2.33333333333333,105,"R05"
1.4,0.2,0.406671608666667,0.862259711914328,1.23413103969226,0.0353632279585141,30.9995741833933,1.6,120,"R54"
1.4,0.4,0.140553706296296,-0.608679567721405,0.328090021784753,0.0305954084208314,29.2199225310429,1.8,120,"R34"
0.133333333333333,0.0666666666666667,0.0183852016666667,1.1090458492456,0.261604309684326,0.0238310920577195,33.6044839526865,0.2,120,"R29"
2.2,0.8,0.275481606555556,-0.0623486018877542,-0.380748105916741,0.0231084613478838,23.077445412144,3,120,"R05"
1.13333333333333,0.0666666666666667,0.357562562111111,0.763318060642671,0.587276149922523,0.034366570497433,30.6883008028767,1.2,135,"R54"
1.06666666666667,0.6,0.15057874176,-0.94588820867135,0.11377315271568,0.0304160357390471,29.1304596254912,1.66666666666667,135,"R34"
0.133333333333333,0,0.035457175,1.41618981269114,0.150283326839932,0.0233313611740064,33.8993101848982,0.133333333333333,135,"R29"
1.93333333333333,0.6,0.389490711684211,-0.172733183511679,-0.475061856923641,0.0230646305921049,23.0939731672973,2.53333333333333,135,"R05"
0.733333333333333,0.133333333333333,0.275360324615385,0.00642327663668005,-0.62557676839573,0.0331837901514586,30.8019070189871,0.866666666666667,150,"R54"
1.53333333333333,0.6,0.1738399569375,-0.776475942657683,0.542406890853825,0.0313335516207325,29.1271372645521,2.13333333333333,150,"R34"
0.533333333333333,0.4,0.0776680972142857,-0.271057314045317,-0.072358638848857,0.0246731347314096,33.9487986057579,0.933333333333333,150,"R29"
1.2,0.533333333333333,0.3504226515,-0.449326245997136,-0.286434354909842,0.0239784077777524,23.0759371943992,1.73333333333333,150,"R05"
